title,cleaned_review
Fishing Planet,early access reviewthis good game much better fishing sims course bit rough around edge expected playing game still production game free least time give shot
Fishing Planet,early access reviewi 3 fishing game match fishing real lifesuper fun play every daythe thing hate start game camera go downup downup downup downup down99100
Fishing Planet,early access reviewthe tournament designed lowerlevel player doomed fail pit highlevel player better gear imporantly bigger fishnet thats easy probem get around dont play ripoff tournamentsthey must put monkey control development human intuition inginuity nearly nonexistant pointi would written better review given thump month ago theyve decided set failure seems
Fishing Planet,early access reviewone best fishing simulator said much compete top free play say without doubt fishing planet best fishing simulator ever played also one ever played pc best try
Fishing Planet,started playing game year ago started leveling geting new thing use new place go 12 hour bought dlc used 20 hour got better thing ok recently diddnt get licence missisipie caught released catfish fined 20000 witch alot tring halloween challenge went bankrupt
Fishing Planet,early access reviewthis game sadly turned cashgrab aside ultimate showstopper cooldowns timer there everything tweaked towards making pay unless unconfirmed set considerable amount time aside havent seen though might impossible working living humanthe game doesnt resolve around fishing less economy simulator set fishing scenerio travel cost daily access fee daily fishing license gear upgrade cost lure cost bait cost everything cost lotall make grind mindlessly way yes location available suitable level thoughit kill spirit fishing fishing fun anywhere level zoneit also teach nothing gear show grind fest missed oportunityinstead timer mess couldve named price eg 50100 buy everything done cashgrab didntalso seems wouldve much potential example vr sadly seems game made money devs actually like sport
Fishing Planet,early access reviewbest free fishing simulator steameven level bit weird help improve getting bigger bigger fish kind freestyle tutorialthe spawn fish seems also weird fish seems spawn every time placeyou dont freedom move around river wich bit sad didnt test location noob onebarbecue tonight yaaaaaaay
Fishing Planet,early access reviewthis game sadly turned cashgrab aside ultimate showstopper cooldowns timer there everything tweaked towards making pay unless unconfirmed set considerable amount time aside havent seen though might impossible working living humanthe game doesnt resolve around fishing less economy simulator set fishing scenerio travel cost daily access fee daily fishing license gear upgrade cost lure cost bait cost everything cost lotall make grind mindlessly way yes location available suitable level thoughit kill spirit fishing fishing fun anywhere level zoneit also teach nothing gear show grind fest missed oportunityinstead timer mess couldve named price eg 50100â buy everything done cashgrab didntalso seems wouldve much potential example vr sadly seems game made money devs actually like sport
Fishing Planet,early access reviewlisted vive support multiplayer vive support multiplayerif lie get people download probably another business
Fishing Planet,one best game played put many hour playing friend ever since update limit tacklebox size longer move rod tackle im limit 300 tackle broken game get fixed ill change review dont recomend
Fishing Planet,early access reviewgame multiplayer unless concider chating people multiplayer dont unless see people around dont concider multi player game like point click typing people game world fishing 100x better
Fishing Planet,fishing planet mind one best example free play seen awhilethe payed element game mean essential fun even reach highest area game truly love fishing wonderful aspect come believe indeed enjoy game offer already brought several people game plan bringing several rich expierence really anyone enjoy group friendsthe bad1 praising game believe issue worth mentioning reviewone major issue game hardship labor go simply get game friend steam join system present game extremely painful would whole lot simpler implemented system instead add someone manually game point 5050 chance person added even show seriously tried least 10 time delete readd get show damn que also sometimes wish could exceed 5 people lake time wish number would increased feel would help spice lake 2 people may truly love deep immersive game get sometimes seems truly nuanced feature make expierence worse especially beginner lack information given newbie like way equiment work even simple definition jargon present game really make difficult expierence someone simply trying find new game find fun tell much ingame money acutally wasted gear would never need simple diagram explanation way thing work would really great assitance ill also show game misnformation rampant ingame chat find asking high level constantly thing work use typically result several different answer usually flatout wrong mind make game whole lot worse everyone involved wish developer put info readily avaliable catch certain fish gear even work 3 weather pattern game extremely annoying sometimes dont even seem work example texas weak weather pattern literally exact next 4 day time everything super annoying make terrible actually catching fish also noticed weather clear fish dont bite much implied sometimes feel literally randomized also link back lack info game make hard truly understand need advancewhat make game greati decided review put negative literally say bad game rest literally great review game complain grindy long take advance frankly never saw issue instead spent first 30 hour game literally 2 lake texas missiouri perfectly fine since lake vast several spot expierment explore find want catch make game deep rich extremely excited move past 2 lake know content vast find game also great job rewarding work instead forcing purchase item set system encourages pay premium unlock earnings far better system opinion infact actually encouraged pay paid content simply respect developer instead lastly think important mention good community people super friendly give advice ask infact actually introduced several people private community game use utility learn eachothers exiperencesthis game truly goto fishing enthusiast also great job introducing newbie fishing really reccomend game anyone patience take
Fishing Planet,early access reviewan absoulety stunning game take little bit time get used far one fun game ever played still put game
Fishing Planet,early access reviewthe game idea amazing beautiful realistic fishing simulation game offer would negative review progress game incredibly frustrating impossible dont invest ten hour catching fish againi finished 5 hour fishing marathon 150 fish caught next level ill need approximately 90 reach next area able fish different specie ill need 2 level frustrating say leastill definitely change review positive one soon grind hell
Fishing Planet,stand point hobbiest angler last 15 yearsupdating review due first one game betathis game went pretty bad update ruined lot core mechanic however loaded last night see gone back old way feel exactly like real fishing much fun best part able thing background listen podcast listen music pay much attention game chill towould reccomend 1010
Fishing Planet,early access reviewjust like fishing dad back dayonly open alpha clothing casting reel multiplayer already introducedin seriousness alright simulated fishing experience isnt many feature available momentid love deep sea fishing later development sayin
Fishing Planet,early access reviewfishing planet amazing early access game much potential offer realistic simulation unseen many game genre catering angler everywhere fishing planet allows sit back relax casual pan fishing try luck catching variety exciting specie trophy fish hope game continues gain support interest within community allowing deliver amazing content grow update
Fishing Planet,early access reviewthis game butieful gr8 player like screanshot like take screanshots buy menue getting larger every update specie fish increase aswell dont get put fact level 2 catching bluegill white crappie reach level 3 larger harder real fish bass catfishgive game chance fun fishing game played
Fishing Planet,early access reviewfor game early access sure amazing im regualr coarse fisherman tell spot really looking foward future update already fantastic game
Fishing Planet,early access reviewthis game fun fun anymoreway restricted cant walk around lake walk around small controlled spot lake fish xyz spot cast reel actually wrote macro game fish
Fishing Planet,one best best fishing sims ever played really need know learn fish game toss line catch big one would give 10 thumb could 112218i wanted say still amazing fishing game totally worth giving try like fishing sims
Fishing Planet,early access reviewthis game mehi gave um moneysthe discussion jokedont say anything negitive someone might get upsetcant even ban stating fact keeping pg13 without threatsand yes differance warning threat friendi thryed like stay think im donethey give info unless watch streami dont wan na support sayingthey need one modhis defender say hasnt time read post one mod thenyeah im salty cant tell im tired nonsense go game discussionmods close thread reason dev answeredwhy cant dev close thread answering need closingim saying ppl let stuff go head who babysitting babysitter one single person modingone single person advertising stream yet update hardly ever muchless ever dev say anything watch stream hell im convinced one developer would make since info unless im twitchthis great game need attentionmaybe sell someone care feed ill one im here50 dlc crap ea game still cant fix fflying fish bugyeah im premium member yeah bought worth dlc geez thought could help dont want helpcant tell dont ppl help free cause niche gameim done change feel needed however dont see happening
Fishing Planet,early access reviewi wanted go fishing today river closed due record high water temp low water level fraser river 2015 conservation effort salmon run etcqueue fishing planetgame crashed fishing1010 like real lifeseriously though initial crash worked fine surprisingly fun game filled fishing desire day
Fishing Planet,early access reviewthis really fun game enjoyed playing day something happened game lost 5000 dollar due game error nothing know isnt fully released game expect kind stuff happen emailed support told issue facing replied blaming didnt anything resolve issue wouldnt recommend game
Fishing Planet,early access reviewafter time came back game happy play since quite hour funas price play chart played around year ago price increase seriously 100x easily1 day adv licence florida 4000 example instead 360 also travel cost add another 1800 bait drastically increased priceamount online player low 1450 righting thisit take day day break even trip non premium player even going expensive fish like trout bass say game enjoyable play look nice economic inflation extremesadly unistalling
Fishing Planet,early access reviewso played game 3 day ill stop playin itwhyi level 9 got new equipment third lake able fish oni cant tell kind fish got 20min fight gotthe fish never come closer 20m 20m went straight back 4060m took get back 30m want back 50m onmeanwhile equipment went 88 40i dont know kind fish maybe whale something like wasnt able land iti guess level simply low game doesnt allow catch bigger fishesthat guessing fit pay2win method publisher seems work withanyway first f2p delete cause simply possible catch bigger fish lower player leveldont play dont like waste time big catch land anyway
Fishing Planet,early access reviewi leave month come back see ridiculously overpriced pay play game wtf happened sincerely hope noone pay garabage make realize messed crappy cant believe still advertise free game im
Fishing Planet,early access reviewi used love game back day u tried get huge catfishsomething attached hook pulled pulled never discovered specie aggressiveplease bring back alligator gar missouri river
Fishing Planet,early access reviewi like game must say live near ocean fish salt water alot really freshwater game potential graphic good grind yes sort pay winish thats level faster worth download well heck yeah worth money dlc sure like good game dont feel like flying fsx go game may many hour thats never get bored flying installed pc try
Fishing Planet,angler tell garbage close real thing also pay real money upgrade isnt cheap hate micro transaction game end costing full retail priced game want money like crazy also alot bug save money
Fishing Planet,early access reviewplayed hour really great unforunately wont playing anymore review said everyone love game based fact people shared tell terrible model ive dealt past dont want anymore making player restricted time misery free player want earn something able work want long want able reap benefit leisuresure make baitcoin conversion rate higher make take forever id 100 happy restrict time let earn stuff based commitment want put gamei bet playerbase small way selling shame dont faith game people put money theyre scaring everyone away trying rip offdevs realize dont care
Fishing Planet,early access reviewgame crash time making player wan na play choosed highest quality setting pressing finish bullsht crashed tryed evry setting nothing changed pumped play worst game ever seen deinstalled
Fishing Planet,best fishing game available sadly everything game planned really need use real moneyits shame game would selling 2040 euro would really recommend
Fishing Planet,early access reviewat first thought earth playing fishing game dont even like fishing however quickly began realise people play game really nice seem contribute fun relaxing atmosphere game opinion fishing planet lot potential perhaps game perhaps aimed older audience could even attract people inexperienced fishing going detail explanation tutorial etc overall id say give try want relaxing peaceful experience thing uninstall
Fishing Planet,gameplay grindy monotonic devs put much focus making profitable freemium trap shame look nice feel wellcrafted first hour game really great started feel others talking review get ice lake far better game even lacking many aspect
Fishing Planet,early access reviewtotal grindfest micro transaction galore game cost 4060 everything included would amazing instead youre locked majority content unless spend ton real world money b spend ton time grinding farming thing
Fishing Planet,early access reviewi surprised come across game nature love fishing simulator style game good start early level quite fun learn catch fish later become bit repetative trying gain xp money level gain access better gear item fun start feel bit grindy get higher level like setup cost travel lake buy license downside need gear main store lose money traveling back lake store equipped gear main one price travel license access per day could use adjusting graphic far nice scenery sound lake bird ive entered competition first time see others complained cheater soon competition start handful player automatically pulling unique trophy fish back back fast often important partone thing like game handling dlc content buy dlc hoping enjoy game duration play somehow recall selling one reel july 4th dlc sold contacting support offer restore lost paid gear wish would make dlc content non sellable deletable add extra space keep also mercy losing gear game bought dlc bought breaking longer usable also system repair dlc content need occasional repair us gold coin instead easily obtainable cash game feel addition paid real money safety measure game one enjoy theyve bought understand company need make money pay directly company content able safety net lose ability become unusable pay harder obtain currency maintain minus previous preventing possibly buying dlc future game pretty good learning curve match certain reel certain rod figure proper weight tackle per rod among challenge need support even tutorial system game help new player understand thing better work progress appreciate constantly updating fixing thing would recommend game fence way currently handle dlc content easy fix im sure player base would greatly appreciate give advantage game wise give people secure feeling buying extra content
Fishing Planet,honest probably best fishing game ive played attention detail fishing equipment ive seen game trouble cant really compare euro fishing personally im carp angler would nice simulator see could
Fishing Planet,early access reviewthis game great general graphic gameplay well done cant recommend game anyone xp system grind fest must play whole day getting fish want level get access area fun boring helledit commentsi mean get fish cast specific baitlure specific spot mean grind place give better let say xphour order level account get acess new placesfishes trout example friend spend whole day getting trout gain single level fish dont worth time exp system like get fish specie dont worth time spend thereanother thing get fish dont feel rewarded fish dont really fight easy get trophy fish without even care taht line may break since learned saw tutorial get specific fish ai game always work way cast spot lure time heard uniques caught exactly minute day get fish random thing always happens fishing irl time get fish wrong place time dont happens hereanyways read last news look like improve exactly make dislike gamwhen happens sure change review positive game overall good
