,review
0,peole worked also star trek online slap wrist game make game look like absolute garbage starter character creation like sto cant 3 class handful trait never obvious started wanted credit card info champion get small fraction archetype cant stand alone fighting level next sto good face gon na come eventually face mean come understand 2009 mean tell 9 year nobody ever thought update mutant sto everyone look like supermodel wont miss play know im making lot sto reference love game one could much better shooter style control hate game looking another direction need hold key ill admit sucked sto still liked eventually got rather decent id get mad id learn play garbage fire 3 day time invested account still find satisfaction character creation walking around arena part hub want mmo superhero game get dcuo youll choose playing pam anderson arnold schwarzenegger power small price pay im topic power use method game doesnt decide
1,wanted badly like game cant good faith recommend game crashed harder stock market global financial crisiswhat likedthe community player community wonderful helpful new player nice friendlythe support although time little confusing get back ticket within 24hrs could solve issuesthe customization much customization character expression body type size outfitcostume well abilitieswhen worked worked beautifully world fun explore mission interesting range ability archetypesthink class greatyou enjoy game without subscribing many subscription item obtained game credit though need put time get themgrindwhat didnt likeconstant random crash crash day crash like alpha game crashed start crashed character creation crashed mission crashed alertswhich queued group mission wouldnt stop crashing matter many time verified reinstalled one crash heavy game ive ever playedfinal thoughtsif game didnt crash badly time would reinstall subscribe today worth personally ive played online game like starwars online eve online even world warcraft never problem game way stability problem one fantastic game bloody unstable
2,customization wonderful youre rper itll take time getting pvp competitive childish time avoid usual said said drama game community cool like truly youll soon chillest cat dang game ya heard shhhhhhiiiiieeeeeeee
3,seeing update decided try old gem againboy get old good wayim going talk visual spec game horrible old clunky ugly look game 8 year old expectedwhat cant believe bad game back dayunskippable cutscenes bad repetetive combat really exciting gameplay etc turn game torture favor buy guild war 2 teso instead game beautiful old
4,highly suggest game ive played nearly every mmo including dc universe online city hero city villians far best mmo created around super hero better dc many way 1 character creation 2 free form power creation allows pick power type mix n match level 3 game lot offer played week realizing bank auction house didnt understand modding upgrading gear well even first week 4 story behind mission nicely done way way wayyyyy better even small story world warcraft dc online also time voice quest mission 5 long chain mission soloable something dc mmos recently thought champion online better 6 free play hell 7 option lifetime subscriber think 300 unlocks ton stuff remember dc online took think mmos need lifetime sub option champion online indeed option con villians appears company put game hold update really hope player subscribe perhaps get attention company work hard get back itfear game may shut biggest issue support game
5,updated 16032015champions online forgotten gamethis game neglected every form update content pw perfect world put bunch developer work 12 devs mean time make money sto startrek online nwnbad game yet review rant actual developer bad game reviewcons new content added last year doesnt count alert much lockbox game need buy nearly cosmetic thingspowerscharacter slotsfreeform overpriced powersetsfreeform want people go gold sub lifetime sub mission bugged cant completed lockbox erp questionite box nerfed hard get thingspros decent fair graphic get user doesnt matter computer old fully customizable heroesclothes fair selection archetype get zen questionite dropped alertshistoryevents fair helping community even dry time content game decent flow playersin time time going get updated help newplayers decide play waste
6,upon time game enjoyable year bandage content content little going free play game became nothing costume creator online plan little subscribe microtransactioned pay cheque order get anything worth game pretty nifty character creator custome tailor
7,stay away game could epic super fun played lot went free even subscribed made freeform character loved fell away game tried come back remember subbed lo behold freeform character locked choice 3 1 resub wasnt sure wanted 2 convert freeform character archetype lol 3 pay 50 character remain freeform without sub ridiculous wont ever play made want cry seeing account full work locked wanted play see wanted resub said stay away train wreck could super great mmo oh well truly strange thing game made folk made star trek online one greatest f2p model known gaming dont understand
8,im something wrong please tell mei would imagine thered lot good feature game shame cant get since cant even log made account strong password everything apparently bad usernamepassword combination since keep saying invalid password banned ten minute kept getting password wrong even specifically made sure typed right even changed password twice nothing happened result cant even log seriously arc fix itbut could wrong maybe im dumb maybe keep misspelling password ill know im something wrong somebody tell first fixed ill keep review somebody tell fix broken password thing ill play rate itedit tried making new account nothing work arc doesnt even explanation support place completely worthless im done trying arc youve disappointed
9,champion best best better dc universe ofcourse better graphic real world dont play championsyou lifesub pokerfaceandwill champion4lyf
10,champion pretty good game still dispite much changed first came scene way better pay play new people wont compare first came say give go like maybe spend extra buck get freeform hero slot make hero power power set easy solo max level enough mission dont expect beating high level boss without team get higher level 30
11,people dumb game isnt p2w there pvp active fun game youre willing give time free dont lose money enjoy game go ahead buy freeform slot let choose every single one power best experience game offer
12,cool game true life replica coh instead get free form character full customization cost like 30 one character would reccommend bought free form dlc got character freeform instead one btw game dead
13,fun game simple much like charector customization optionsthey almost endless consider game play basic seems made kidspeople adhd none instance last minute lol wouldnt recomend hard core gamers much better younger gamers opinionyup im gon na get grief statement lol anyway dont know whether give thumb thumb think depends upon maturity gameris mature gamer oxymoronupdate almost 3yrs later tried go back play game nothing changed game essentially dead player wiseat least compared first posted review doesnt even appear much done update game make dynamic exact quest exact everything major thing seems done game three year option removed added seems many choice kind charector play 3 year ago charector type one two option available 6 8 want one arent offered pay still quite way customize way charector look want make change lateragain pay horrible game interesting involved enough taste still believe game work better younger crowd
14,step 1 log step 2 create character step 3 make awesome character step 4 finish character step 5 unable create character timestep 6 realize didnt save costume step 7 uninstall mad
15,although fun time big clusterfu ck bad programming spamming power win battle character customization game wonderful though
16,havent left room two week ive run food resorted eating body hair mouse make mistake running roomoh way game pretty good guess
17,still recommend everyone play game game good enough real money play play without money play longer least play 400 hour better character equipment
18,like city hero except didnt try hard graphic worse combat tedious character development restrictive grammar gone mediocre cringeworthyif want pay real money every little thing reward company phoning free play game
19,game hard engaging unexpectedly addictive never run thing always play friend keep striving build character higher appropriate age game ridculously fun
20,fun free play game mostly nice community player downside best stuff free recreate favorite superheroes close ask change
21,update cryptic launcher appears broken letting update night woke moring find still updating update 20mb keep saying timed every 2hrs unable play game thanks shity people cryptic thanks alot money grubbing dcks
22,got wonky one day created mythical lionjackaleagle carried two great ax went name detroxyxhis description read sort reincarnated ancient origin 4 ancient religion religion shared similarity tale ancient cube unknown infinite power would raise allpowerful titan cube discovered detroxyx spawnedwhat1210 try
23,sat hour half downloading game another hour 15 min make character fails make character15 min got kicked game character remade cause knew everything wantedthe game go updatesi proceeded find uninstall button 1010 would play
24,honestly wouldnt listen lot people naysaying game aint perfect everyone still charming little game like customization roleplaying refreshingly different combat mechanic click button watch number appear style mmos positioning important powerand power really satisfying usemost least like said perfectstill recommending though
25,best free superhero mmo therethis said server bit laggy buggy time overall youre looking good mmo youll need look nowhere near perfect
