,review
0,early access reviewim haveing problem hq allow add command card haveing problem puting new command card thought took begining card could put also invantory cant use thats suppost happen pls fixed still great game
1,early access reviewloads slow try remodify system maybe take sec two load war base example know youre giving u better experience game patient priority experience game right
2,early access reviewa great game say start fun hour later might make rage lot lol awesome f2p game hope balancing update make amazing
3,early access reviewtake 2 review 26 hour game 13 spent previous review say without doubt recommend game extreme case boredom frustrationlock padded room remove sharp object hang police tape door sit back enjoy absolute frustration aneurysm inducing anger thats called gun upi likened game super mario brother past review realize wrong analogy say like playing board game 3 year old yes set rule yes may well know rule heart yes may able manipulate piece way want none however mean actually win game cant possibly win game opponent embodiment utter chaos randomness like toddler throwing temper tantrumthat ai game isthis would generally funny watching bunch mentally handicapped army soldier march demise asinine manner possible wear thin however 5th hour playing get hang game played start realizing impossible play waythe random number generator god game hate bring many sacrificial lamb table like hope appease still hate blackjack simulator slot machine simulator id say great job unfortunately strategy game involves carefully planned tactic impossible plan anything spoonfed mental patient take dumbest possible route across lethal terrain get cut like weed matter secondsgrunt hey look rocket blasted hole right unoccupied north side wall go way ya know empty hole nobody guardingassault idiot target run barbed wire towards bunker straddled sniper tower enemy platoon middle base idiotthis exaggeration nine every ten game unit something facebashingly stupid based entirely random number ai throw round redeeming factor rng god hate opponent muchyou generally much easier time defense offense chalked fact dont rely idiotic number getting way second plan base place building hope unit go way beyond wall left random chance least control far building concernedai aside one glaring feature really coddles rng god special attack supply card get shuffled tick randomly selected supply offense need 300 munition order spawn last wave assault troop break one sniper tower mortar look like youre sol since rolled rally flag tear gas 15 munition past 20 second wait troop respawn tick timer away stalemate b surrender end sufferingthe randomness also ooze planning phase get select special card troop want bring get glimpse base youre special trait level additional feature hide behind basic information anybodys guess layout level material base structure also mystery see round time idea youre round already started feel like guy brought knife gunfight grenadewielding einstein decided nuke low level grunt instead blowing apart neighboring sniper towerid recommend playing game 45 hour stop give wont get better youll dose blood pressure medication family rush er brain haemorrhage witnessing stupidity taking place screen
4,early access reviewits good game recommend side alliance battle really unbalanced hope fix soon game alright
5,early access reviewfun game opinion dont see many negetives think bad review complaining balance salty people got mad losing tactic didnt work enemy lot choke point wall blow missles common unit explosive take shooting soldier military bulding fun game highly recommend
6,early access reviewstart game fun hit 1k power nothing point start see weird stuff attack window 2 white skull 1400 power 3 white skull 1 red skull difficulty 900 base power also alot player grade power something face lowbies dont unit end lost point game grind
7,early access reviewthis game funit one mmos build stuff big game something uniquein isint like hey got square buildthis long line rock fork road yeah buy unit use there soooo much doi give game 910
8,early access reviewits decent game issue personally encountered error close game tell restart whenever restart though give error usually day resolved extremely annoying game okay
9,early access reviewthis game worst ai game ever seen ai player bomb army letting win nowhere unit back track reason leaving expensive unit charge death youll rally point focus fire opponent wall unit ignore downed wall run opponent choke point kill god else im 80 hour dont single hero unit 4 elite pack ive opened gave exact worthless 15 vet xp perk recycled 3 together gave yet another freakin copy base power 2000 point every opponent attack let attack base power 7000 ever ballenced game concusion time game doesnt let log day nowhere reset daily reward almost day 7 reward happens really really tryed like game mean put 80 hour even im done 30 dollar spent game would better spent paying someone kick ball every day played
10,early access reviewi enjoy game lot still buggy moment lost 50 gold premium currency store cant access bug reporting site hence im writing good game concept need lot work still
11,early access reviewthis great game might suggest look bug mean lost medal said error occured good
12,early access reviewthis game good didnt crash lag like there different death like sometimes crawl second shoot head pro nice cartoon art style customisable many troop use lot different way play con loading way long lot thing cost gold extremely hard getoverall good game intend play long time definetly recommend game anyone like clash clan
13,early access reviewim tired gamenot gameplay boring anything stopped untill 4am playing gun im really tired would 100 recommend game especially free play art style superb really fit style gameplay also magnificent truly unique game real downside never get repetative base attack give different experience 400mbs free space install game immeadiately
14,early access reviewit free fun pay win play enjoy win lose game brings new feature tower defense feel like casual entertaining welldesigned product see people talking crash crashed
15,early access reviewi recommend game p2w game fight player upgrade base recruit new troop 13 hour level 8 antiair attack level 10 mortar level 8 bunker sniper tower doesnt take long time upgrade instantly dont wait minuteshoursdaysweeks like game
16,early access reviewi would liked little control unit movement seeing massive advancing wall infantry strategy popular imperial guard powerful might balance decisionother game really need lot work mostly frequent disconnection crash side functioning ui explaining stats everything side explaining everything mean everything work sidethe art style really vibrant colorful soft cartoony look without cell shading everything also music pretty good though there lot go aroundall reasonably good timesink mobilestyle game ironically isnt mobile actually started life ps4with much better ui compared whats game time writing little rough around edge sometimes way make sense time less ui look forward spending time future
17,early access reviewthe balance game completely borked get higher level base defense vastly overpower assaulting army deliberate game shove buy assault power elite unit cash shop advertisement throat left right game basically become unplayable later due get lucky find badly neglected base order win without shelling cash pay2win aspect game
18,early access reviewthe reason game many dislike old disconnection error bug since fixed game continued swiftly improved developed good game people like grinding sense progression yes game small element pay win yet mainly pay progress speed due purchase munition card perk hat get game key xd
19,early access reviewwell pay 2 win pay 2 farm less lol okay soilders cute game give challenge player well dont go rekting skull
20,ive noticed increase defeated battle defense offense mode since last time ive played game really push thing point insanity set troop count 200 later game start see squad paratrooper get deployed sky get really close victory game say start deploying army army paratrooper sky wipe entire military force tower base etc matter second addition random defense modeevent progression system go easy victory absolutely insanly difficult level would take month upgrade everything beat level thing get difficult nothing balance
21,problem game tutorial making base game load part base attacked done loading prompt restart game every time reload game shame played allot ps4 uh please help
22,surprising great time easy learn pick hard master tower defence game attack player made base good reward system wont need spend real money pretty well progress good pace
23,early access reviewthe game gud glitch game go pvp campain thing wont let chose cant really play gmae plz fix
24,early access reviewreally awesome game got mate made alliance play together would recommend anyone even constant 2030 min crash fact lvl 15 p2w im currently lvl 19 enjoying game
25,early access reviewthe game keep crashing 2 hour game crashed 46 time aside early access free play totally worth get pas time quite entertaining watch horde troop walk right well thought defense layout watch either making way barrage bullet getting slaughtered outgunning defense overwhelming fireppower
26,early access reviewi recommend game every strategist game blast saw mate play game decided give try instantly fell inlove game game strategy game build base attack people base gain dog tag munition attack card dog tag score game high amount dog tag fight player amount munition ingame currency use send troop build base attack card card use attack enemy give edge might turn outcome battle hand card burned attack battle purchasable currency gold gold use buy card might unlock perk hero munition gold booster pay win element game aint big unlock thing game without buying money
27,early access review我甚麼都沒做就封鎖我這甚麼遊戲公司啊if grow fastthe studio ban account vacso spend money make strong like me115知道原因了他們說我短時間內獲得太多遊戲幣購買商品i knew reasonthe studio say earn much buy game pack於是他們就懷疑我使用作弊程式and doubt use cheat progrem我也計算給他們看過了i caculated them一場cpu防禦可以賺1215萬a cpu defense earn 120000150000 4060 min game前30分鐘系統會給46250加上撿的會有7萬左右first 30 min tou got 46250 system reward little munition whitch enemy fallenthere 6700070000接著就通通要用撿的會有57萬and next 30 min earn munition thought pick fron defeat enemiesthey fall massive munition 5000070000加起來差不多一小時可以賺這麼多沒問題輕鬆簡單plus earn hour insist maybe earn more但是工作室完全聽不進去一直關注我短時間內獲得的大量錢幣but didnt listen focu earn much day 正當玩法就可以獲得那麼多作弊幹嘛if use correct way play game earn lot need cheat
28,early access reviewi must say first saw game didnt think much almost looked like clash clan clone gun however quickly proven wrong despite game mobile look actually extremely fun addictive played game week loveprosfun build base game actually make think placement strategiesfun attack base include obviously core gamethe grinding isnt annoying strugglecard perk system help bash winsconsextremely slow leveling without payinggrinding still grinding even mildly entertainingthere real chat system game allows communication alliancesthere still bunch wierd bug ruin experience glitch build mode go hereit feel like progression attacking unit tot progression defensive building make attack near impossible progress unless payit extremely hard get good set card higher level attackshq card pretty hard come without pay ive gotten 4despite handfull con mentioned still recommend game becaus trust developer work game still young deserves chance expert reviewer hope helped
29,early access reviewunfortunately since ai quite stupid path finding easily exploited using killboxes practically unbreakable unless one good card one time use power game often dont even drop reward one spend taking basethe game unbalanced killbox base become norm level 710 killing reason attack base get always get less put especially since higher tier unit extortionately expensive grind hundred killbox base unlock one unless rent unupgraded unit full munition cost battle pay real moneythis game development 2 year still flaw always push hard pay real money take cookiecutter base arent even fun fight anyway
30,early access reviewvery good game us clash clan many similar game element put unique way plenty progression strategy offensive defensive part game
31,early access reviewi realy enjoyed game whent play another round clicked another person fight hit rematch didnt want lost 30 gold hit back lsot gold asked pay another 30 gold even thoug hi didnt even attack himher
