,review
0,remember playing game somewhere around 2011 yeah definitely first semester uni definitely cheapskate would play anything pas time first time stumbled game loved matter fact still everything click almost snapim glad game steam thanks playa keeping game alivedid mention love game
1,number thing shake fidget amusing end pretty typical paytoplay scheme make sit wait thing happen fork cash speed thing okay killing time youre working thing there real action anything much thought required little make timekiller additionally joke get tiresome fairly quickly want something mildly amusing doesnt require much attention could decent way pas time otherwise enough fun make want devote time
2,im uninstalling game sufficient hour boredom frustration game without potential special commendation artist create backdrop outstanding gameplay rather dull found playing chore since waiting game visit game 30 second start something walk away 515 minute dish etc repeat unimpressive pleasant little break household chore finally fed started notice difficulty level getting manipulated arena opponent significantly higher level 37 level rarely level never ever lower meaning get game increasingly rigged disadvantage presumably convince u pay ingame improvement dishonest unfortunate discredit artist clearly need better employer talent
3,game suck alot zero involvment fighting thing game quest revolve around literally waiting minute watching bar go loading bar bar tell long get watch character fight vastly inferiour enemy also microtransactions pushed onto alottldr game crap
4,youre looking something suck time offering little way real game experience game feel like cheap phone app doesnt actually anything real game dont actually much quest performed buy thing make loading faster apparently there obvious cash grab battle performed click thing let computer solve stuff least pokemon go could something fight improve chance there skill needed better stuff win fini expect gaming experience even simple goofy one
5,like timersare looking game help count minute diedo suffer inability enjoy life pleasure hoping inundating brain nothingness help appease elder god made life miserablethen good news game great idle mechanic watch game manages suck game idle gamecongratulationshttpswwwyoutubecomwatchvpnpsruf7m
6,shake fidget fantasythemed satirical 2d mmorpg combine typical rpg feature quest dungeon mount crafting pvp humor witty line whole lot sarcasm cartoony visual novel style gamestrap armor hop cow take stroll magical satirical world shake fidget freetoplay 2d visual novel style mmorpg aim tickle funny bone create cartoony hero 8 iconic race 3 playable class embark absurd quest local townsfolk journey dangerous corner realm take killer monster rabbit sulky taurus gold glory honor equip character thousand comicallynamed item dog tag fool forbidden book rated mature embedded choice gemstone added bonus construct fortress defend attack challenge player arena eventually reach top spot hall fameshakes fidget key featuresfun funny game poke fun typical mmorpg scenario sarcastic witty dialog fan genre cracking every timecartoony character create comic book style character surprisingly large choice 8 race 3 classesthousands item equip hero thousand comicallynamed weapon armor accessoriespvp system challenge player battle arena lay siege personal fortressesmultiplatform gaming seamlessly transition killing harmless mob pc killing even harmless mob mobile deviceits game worth playing give go
7,awful beyond awful isnt even game art clearly designed world warcraft start withbasically browser game dont anything put equipment character find quest arena per day unless spend mushroom cost real moneythe quest consist picking 1 3 available quest npc sitting bar watch bar go 0100 thats thats every questthis dumbestive seen steam literally click button wait get 100 thats game im pretty sure people giving thumb either eating mushroom game paidmaybe
8,playing warrior want challenge someone arena appears fight archer k archer dodged attack archer problem hitting whatsoever miss getting hit miss getting hit miss blocked shield miss getting crit warrior hp 0 archer hp still 100 100 honor lost 9k gold lost1010 would like fight archer
9,seeing old game come steam recently decided give game another try playing pastpros great comic art stylesome rpg element upgrading equipment statsseveral thing higher levelsconsits waiting game accept quest tavern wait second minute hourscombat automated option skipdespite steam showing 13k player online overall playerbase population low player speak englishthe game simple boring describe game one word monotonyin opinion rewarding entertaining engaging worth timeplease note personal opinion based experience enjoy game im happy flame disagree opinion want criticize ingame time steam please read top review
10,one big plus game perfect fill free time nothing especially scrapbook player game know mean xp find lot new friend want play people country problem plenty server country want play people around world problem 6 world server every weekend event boost account exp gold epic shrooms rare item christmas easter etc game pay win expect lose lot gold arena exping high level really long one level take 1 week slowly increase also mushroom insane high price compared gamesand game belong steam playa game already game browser really difference android best way play game idea steam
11,omg best game ever best part intense battle ui super crazy stuff take 12mins complete misssion load excitement battle part mission use ultimate stratergy perfect planning play decisive role winning enemy
12,remember used worship game like god reason boring 30 min1 hour go play something like wow good short burst playing overall p2w short play long
