,review
0,middle earth else ask admit long ago ftp steam middle earth nothing better exploring recognizing place read
1,aside aged bit roughly entirely steam controller compatible plus bit grind game store purchase model fragmenting content lucky aware fact previous developer twice allowed lifetime vip account including monthly complementary game store credit versus monthly subscription model make current game trend purchasing content separately sake progression wonderful lore based mmo love high fantasy world tolkien glad still online hope continues far beyond war ring uncharted part middleearth many year come
2,fantastic mmo play solo friend everyone community helpful friendly dont afraid ask helping hand stranger willing help newer player progress game
3,playing game decade something everyone doable learning curve without boring easy learn without losing challenge aspect lot accomplish experience id highly recommend teen adultsvery entertainimg
4,wan na preface saying ive playing since mine moria long ride encourage read review way quite long try give close unbiased opinion sunk little year though across character though discus story aspect try spoiler free possiblelotro pretty unique mmo stand biggest appeal get play tolkien world people ive interacted ingame observed server wide chat share sentiment recently release legendary server progression server classic server many people come revisit middleearth give try going cover bad goodthe badits old game struggle lot graphical setting instance game tends crash often using dx11 instead dx9 many crash certain area game running dx11 bree mina tirith instance game still look pretty good drop dx9 another setting would engine speed troubleshooting defaulted high lowering high helped stabilitythe f2p aspect game subscribtion option referred vip status free play option label account either free play preminum new player buy sub become vip free play lifer former vip let sub run downgraded premium purchase something store lotro point example upgraded permanently premium wont go detail difference account type easily searchable clearly defined write f2p isnt bad really intend play game length time f2p player would 100 recommend subscribing 1 month logging every character possibly make unlock trait slot swift travel instantly traveling one zone another without sit watch horse gallop permanetly chracters cancel next day whenever want super helpful beneficial long run plus character get level 20 subscribtion unlock ability use mount instead spending 95 lotro point per characterthe lotro store like dislike lotro store store sell cosmetic store exclusive mount instance unlock packs3man 6man dungeon raid skirmish like scenario wow quest region expansion additional bag space start 5 bag trait slot already unlocked ability use mount exp boost item disable xp main stat tome negligable stat bonus worth mentioning similar item ingame deed system award player lotro point ingame killing x amount specific creature reaching certain level reputation discovering x amount area completing x amount quest addition complicated deed mean dont want spend money irl lot free time theoretically grind lotro point buy whatever want stopped subscription first rohan expansion released bought every quest zoneexpansion afterwords point accumulated different character messed around exception mordorpvp non existant pvmpplayer v monster player mostly dead due stats currently system really weird looking pvp game isnt reference highest rank achieved pvmp rank 5 sergeant guard total 15 highest didnt take long 5 take exponentially longer go feel free try pvmp requires vip subscriptionthe goodthe music phenominal opinion track feel like fit well environment many make reminesce lotr movie usually mute ingame sound playing mmos play lotro dont really memorable track moria best music hand also ingame music system people use put concert ingame always blast hear good tunesalternative route portion game 1 path take go set level level 115 either ered luin dwarfelven starter area shirehobbits archetcombe men also small part bree hit level 15 sent bree level 20ish thats open level 2030 two zone pick lonelands north down 3040 evendim trollshaws 4050 forochel misty mountain angmar eregion mid 40 hit 50 delve moria lothlorien 60 either go southern mirkwood enedwaith similar choice move forward although rohan real option 7595 gondor open long stretch several zone dedicated level 100 alone mordor 105 tldr many zone try differently levelthe warden class friend mine described class similar fighting game character far move gothe story intro stronger average freepeoples eriadormiddleearth progress game story action deed spread people empowered presence progress expansion different land sometimes people heard whisper name sometimes dont know hell current end figure critical event middleearth always directly center ofthe story seperated volume finish intro begin volume 1 cover vanilla story meet central character book aid people eriador volume 2 extends first second expansion moria mirkwood volume 3 deal next three expansion isengard section rohan volume 4 deal gondor far thing happen event return king titled black book mordor deal event triology writing review update 23 released book 8 black bookthe pve content lot memorable time running dungeon raid older content scale level cap nice run older piece content one favorite barad guldar mirkwood siege fortress eventually rather epic fight top fortress content different difficulty tier 1 tier 2 tier 2 challange requires something specific done addition tier 2 havent played recent raid played available interesting encounterstldr f2p older game quite enjoyable release legendary server breathed new life community sense everyone together new player old issue game store tolkien fan desiring immerse world interesting questlines friendly community go lotro game ive always come back yearssolid 810 game
5,interesting catching funny kind comfortable game great graphic really nice community want spend time living tolkien dream talking awesome people questing deeding crafting roleplaying game youmain town city wellarranged big chance get lost like many time trying play dungeon dragon there efficient navigation quest tracking system game guide smooth sensitive movement control dont get hard turn world warcraft age wulin perhaps pc fault skill queue automatic movement towards target eg ore deposit vendor rightclicking easy get around object path without turning kind slip around hardly ever get stuck game honed race class system chose basic advanced difficulty class 3 trait tree focusing different skill real fun figuring fight best buy house fun decorating store stuff chest purchaseable space exhibit trophy crafting easy various crafted item usually far better buy except stock auction house put something sale free slot vip get 30 premium 5 many event win great prize gain reputation many society get privilege awesome unique item even chose play bad guy creep create orc warg spider fight pvp free people freeps level 85 lotro store buy whatever like real money there great choice buff additional slot trait slot inventory bag chatacter slot steed outfit quest pack even necessary use real money earn turbine point used store finishing deed slow hey give something free dayswhen youre lost always turn lotrowiki there usually everything need complete quest deed even feel impossible figure one wiki get answer player advice chat channel lotros community one kindest generous obliging gaming worldits kind comfortable play game thrilling sometimes scary often funny always trivial dont quest level relax roleplay craft hunt material money reputation freely use chat meet great new people join kinship fellowship plenty fun socializing beware addictive
6,new game already love world done really well there lot character coustomization option there lot npc fight absolutely love good longtime fan lotr people never made relationship
7,bought lifetime sub released never regretted game still look good although 2017 visuals getting bit dated although water effect mind blowingly awesome first came there load mature community many mmos chock full tolkien lore
8,11 year still going strong amazing keep putting expansion game immersive mmo ive ever played nearly 12 year later still draw back memory instilled run deep
9,lotro first f2p mmorpg ive played far coming time spent ffxivarr wow lotro visual drop ffxiv playmechanics much closer wow rich robust content land explore epic writing jrr tolkien character exist beautifully realized middle earth height war ring coexisting many player character trading crafting making music celebrating together joining kinship fighting alongside oneanother epic battle together technically speaking lotro really freetoplay earn bank lotro point grinding content completing deed game spent lotro store buy manner qol qualityoflife enhancement trait skill questpacks even full game expansion mean grind much fund available ie terminally poor youll typically give either spend realmoney buy item lotro store subscribe monthly vip subscription includes many item automatically excluding expansion use fair f2p model get door grind earn lotro point buy 1st couple qol enhancement make game experience better like see consider laying hardearned cash buy subscribe lotro experience lotr fan idea playing mmorpg isnt odious brainer choice one control destiny free people middle earth darkness sway come join u play lotro welcome friend
